url,title,realization,genre,subgenre,production,coproduction,type,theme,year
https://www.unifrance.org/film/57965/ducobu-passe-au-vert,Ducobu passe au vert !,Élie Semoun,Fiction,null,UGC Distribution,null,Long-métrage,null,undefined
https://www.unifrance.org/film/56620/le-comte-de-monte-cristo,Le Comte de Monte-Cristo,"Alexandre de La Patellière, Matthieu Delaporte",Fiction,null,Pathé Films,null,Long-métrage,null,2024
https://www.unifrance.org/film/57850/les-hennedricks,Les Hennedricks,Laurence Arné,Fiction,null,The Film,null,Long-métrage,null,2024
https://www.unifrance.org/film/57858/le-mangeur-d-ames,Le Mangeur d'âmes,"Alexandre Bustillo, Julien Maury",Fiction,Policier,Phase 4 Productions,null,Long-métrage,null,2024
https://www.unifrance.org/film/58037/n-avoue-jamais,N'avoue jamais,Ivan Calbérac,Fiction,null,Wild Bunch,null,Long-métrage,null,undefined
https://www.unifrance.org/film/57365/tombe-du-camion,Tombé du camion,Philippe Pollet-Villard,Fiction,Comédie,Karé Productions,null,Long-métrage,null,2024
https://www.unifrance.org/film/56991/le-tableau-vole,Le Tableau volé,Pascal Bonitzer,Fiction,null,SBS Productions,null,Long-métrage,null,2024
https://www.unifrance.org/film/54631/moi-capitaine,"Moi, capitaine",Matteo Garrone,Fiction,Drame,Pathé Films,Pathé Films,Long-métrage,"Exil, Immigration",undefined
https://www.unifrance.org/film/56081/toni-en-famille,"Toni, en famille",Nathan Ambrosioni,Fiction,Comédie dramatique,Chi-Fou-Mi Productions,"STUDIOCANAL, France 2 Cinéma",Long-métrage,Famille,2023
https://www.unifrance.org/film/56019/omar-la-fraise,Omar la fraise,Élias Belkeddar,Fiction,Comédie dramatique,Iconoclast Films,"STUDIOCANAL, France 2 Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/55709/l-ete-dernier,L'Été dernier,Catherine Breillat,Fiction,Drame,SBS Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/56763/le-proces-goldman,Le Procès Goldman,Cédric Kahn,Fiction,Drame,Moonshaker,Tropdebonheur Productions,Long-métrage,Justice,2023
https://www.unifrance.org/film/56508/simple-comme-sylvain,Simple comme Sylvain,Monia Chokri,Fiction,Comédie sentimentale,MK Productions,MK Productions,Long-métrage,null,undefined
https://www.unifrance.org/film/55100/une-nuit,Une nuit,Alex Lutz,Fiction,Comédie sentimentale,Maneki Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/54575/anatomie-d-une-chute,Anatomie d'une chute,Justine Triet,Fiction,Drame,Les Films Pelléas,"France 2 Cinéma, Auvergne-Rhône-Alpes Cinéma",Long-métrage,"Justice, Meurtre, Accident",2023
https://www.unifrance.org/film/56288/wahou,Wahou !,Bruno Podalydès,Fiction,Comédie,Why Not Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/55812/they-shot-the-piano-player,They Shot the Piano Player,"Fernando Trueba, Javier Mariscal",Animation,Animation,Les Films d'Ici,Les Films d'Ici,Long-métrage,null,undefined
https://www.unifrance.org/film/55997/ama-gloria,Àma Gloria,Marie Amachoukeli,Fiction,Comédie dramatique,Lilies Films,null,Long-métrage,"Enfance, Voyage, Deuil, Immigration",2023
https://www.unifrance.org/film/56010/sur-la-branche,Sur la branche,Marie Garel Weiss,Fiction,Comédie,Elzévir Films,France 3 Cinéma,Long-métrage,null,2023
https://www.unifrance.org/film/56072/des-mains-en-or,Des mains en or,Isabelle Mergault,Fiction,Comédie,Quad Films,France 3 Cinéma,Long-métrage,null,2023
https://www.unifrance.org/film/56458/la-voie-royale,La Voie royale,Frédéric Mermoud,Fiction,Drame,Tabo Tabo Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/56188/marie-line-et-son-juge,Marie-Line et son juge,Jean-Pierre Améris,Fiction,Comédie dramatique,Escazal Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/55165/le-retour,Le Retour,Catherine Corsini,Fiction,Drame,CHAZ Productions,"France 3 Cinéma, Le Pacte",Long-métrage,null,2023
https://www.unifrance.org/film/56097/sages-femmes,Sages-femmes,Léa Fehner,Fiction,Drame,Geko Films,ARTE France,Long-métrage,null,2023
https://www.unifrance.org/film/56233/veuillez-nous-excuser-pour-la-gene-occasionnee,Veuillez nous excuser pour la gêne occasionnée,Olivier Van Hoofstadt,Fiction,Comédie,Vendôme Films,"TF1 Films Production, TF1 Studio",Long-métrage,null,2023
https://www.unifrance.org/film/56189/les-algues-vertes,Les Algues vertes,Pierre Jolivet,Fiction,null,2.4.7. Films (247 Films),null,Long-métrage,null,2023
https://www.unifrance.org/film/55914/notre-corps,Notre corps,Claire Simon,Documentaire,"Documentaire, Femmes",Madison Films,France 2 Cinéma,Long-métrage,null,2023
https://www.unifrance.org/film/57101/les-deguns-2,Les Déguns 2,"Claude Junior Zidi, Cyrille Droux",Fiction,Comédie,Hyper Focal,Apollo Films,Long-métrage,null,2023
https://www.unifrance.org/film/56909/les-blagues-de-toto-2-classe-verte,Les Blagues de Toto 2 - Classe verte,Pascal Bourdiaux,Fiction,Comédie,SND,M6 Films,Long-métrage,Enfance,2023
https://www.unifrance.org/film/56510/le-ravissement,Le Ravissement,Iris  Kaltenbäck,Fiction,Drame,MACT Productions,"JPG Films, BNP Paribas Pictures",Long-métrage,null,2023
https://www.unifrance.org/film/55351/l-amour-et-les-forets,L'Amour et les forêts,Valérie Donzelli,Fiction,Drame,Rectangle Productions,Les Films de Françoise,Long-métrage,null,2023
https://www.unifrance.org/film/56149/bernadette,Bernadette,Léa Domenach,Fiction,Comédie,Karé Productions,"France 3 Cinéma, Marvelous Productions",Long-métrage,null,2023
https://www.unifrance.org/film/54599/un-metier-serieux,Un métier sérieux,Thomas Lilti,Fiction,Comédie dramatique,Les Films du Parc,"Le Pacte, France 2 Cinéma, Les FIlms de Benjamin",Long-métrage,null,2023
https://www.unifrance.org/film/55471/acide,Acide,Just Philippot,Fiction,"Drame, Science-fiction",Bonne Pioche Cinéma,"France 3 Cinéma, Caneo Films, Logical Content Ventures",Long-métrage,null,2023
https://www.unifrance.org/film/55883/le-regne-animal,Le Règne animal,Thomas Cailley,Fiction,"Science-fiction, Fantastique, Drame",Nord-Ouest Films,"STUDIOCANAL, France 2 Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/55435/une-annee-difficile,Une année difficile,"Éric Toledano, Olivier Nakache",Fiction,Comédie,Ten Cinéma,Gaumont,Long-métrage,null,2023
https://www.unifrance.org/film/55810/la-petite,La Petite,Guillaume Nicloux,Fiction,Comédie dramatique,Les Films du Kiosque,"France 2 Cinéma, SND",Long-métrage,null,2023
https://www.unifrance.org/film/55382/nouveau-depart,Nouveau Départ,Philippe Lefèbvre,Fiction,Comédie sentimentale,Récifilms,"Orange Studio, France 2 Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/56144/totem,Tótem,Lila Avilés,Fiction,Drame,Alpha Violet,Alpha Violet,Long-métrage,null,undefined
https://www.unifrance.org/film/56460/club-zero,Club Zéro,Jessica Hausner,Fiction,Drame,Société Parisienne de Production,Coproduction Office,Long-métrage,null,undefined
https://www.unifrance.org/film/57100/yannick,Yannick,Quentin Dupieux,Fiction,Comédie dramatique,Chi-Fou-Mi Productions,null,Long-métrage,Théâtre,2023
https://www.unifrance.org/film/57608/14-jours-pour-aller-mieux,14 jours pour aller mieux,Edouard Pluvieux,Fiction,null,Nolita,null,Long-métrage,null,2023
https://www.unifrance.org/film/54591/l-abbe-pierre-une-vie-de-combats,L'Abbé Pierre - Une vie de combats,Frédéric Tellier,Fiction,"Biopic, Drame",WY Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/56012/38-5-quai-des-orfevres,38°5 Quai des Orfèvres,Benjamin Lehrer,Fiction,"Comédie, Policier",Chabraque Productions,"TF1 Films Production, DB Production",Long-métrage,null,2023
https://www.unifrance.org/film/55449/l-air-de-la-mer-rend-libre,L'Air de la mer rend libre,Nadir Moknèche,Fiction,Drame,Blue Monday Productions,Le Bureau Films,Long-métrage,null,2023
https://www.unifrance.org/film/56339/banel-adama,Banel & Adama,Ramata-Toulaye Sy,Fiction,Drame,La Chauve-Souris,"Canal+ International, Arte France Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/56772/l-arbre-aux-papillons-d-or,L'Arbre aux papillons d'or,Tien An Pham,Fiction,Drame,Deuxième Ligne Films,Deuxième Ligne Films,Long-métrage,null,undefined
https://www.unifrance.org/film/56336/l-arche-de-noe,L'Arche de Noé,Bryan Marciano,Fiction,null,Eliph Productions,"TF1 Studio, UGC Images",Long-métrage,Homosexualité,2023
https://www.unifrance.org/film/55532/animalia,Animalia,Sofia Alaoui,Fiction,Science-fiction,Wrong Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/55466/borgo,Borgo,Stéphane Demoustier,Fiction,Drame,Petit Film,France 3 Cinéma,Long-métrage,null,2023
https://www.unifrance.org/film/56618/bye-bye-tiberiade,Bye bye Tibériade,Lina Soualem,Documentaire,Documentaire,Beall Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/56700/caiti-blues,Caiti Blues,Justine  Harbonnier,Documentaire,Documentaire,SISTER Productions,null,Long-métrage,"Exil, Musique",2023
https://www.unifrance.org/film/56777/c-est-le-monde-a-l-envers,C'est le monde à l'envers !,Nicolas Vanier,Fiction,null,Bonne Pioche Cinéma,null,Long-métrage,null,2023
https://www.unifrance.org/film/56379/city-of-wind,City of Wind,Lkhagvadulam Purev-Ochir,Fiction,Drame,Aurora Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/55809/bonnard-pierre-et-marthe,"Bonnard, Pierre et Marthe",Martin Provost,Fiction,Comédie dramatique,Les Films du Kiosque,"France 3 Cinéma, Volapuk",Long-métrage,Art,2023
https://www.unifrance.org/film/55815/chien-et-chat,Chien et chat,Reem Kherici,Fiction,null,Mandarin & Compagnie (ex-Mandarin Production),null,Long-métrage,null,2023
https://www.unifrance.org/film/57183/chambre-999,Chambre 999,Lubna  Playoust,Documentaire,Documentaire,MK Productions,null,Long-métrage,Cinéma,2023
https://www.unifrance.org/film/56231/chasse-gardee,Chasse gardée,"Frédéric Forestier, Antonin Fourlon",Fiction,Comédie,Curiosa Films,"TF1 Studio, Union Générale Cinématographique (UGC), TF1 Films Production, Studio Exception",Long-métrage,null,2023
https://www.unifrance.org/film/56232/au-fil-des-saisons,Au fil des saisons,"Marco La Via, Hanna Ladoul",Fiction,null,Cheyenne Federation,null,Long-métrage,null,2023
https://www.unifrance.org/film/51483/au-cimetiere-de-la-pellicule,Au cimetière de la pellicule,Thierno Souleymane Diallo,Documentaire,null,JPL Productions,"Auvergne-Rhône-Alpes Cinéma, Lyon Capitale TV",Long-métrage,Cinéma,2023
https://www.unifrance.org/film/56744/augure,Augure,Baloji Tshiani,Fiction,null,Special Touch Studios,Special Touch Studios,Long-métrage,null,undefined
https://www.unifrance.org/film/56000/les-colons,Les Colons,Felipe Galvez,Fiction,Drame,Ciné-Sud Promotion,Ciné-Sud Promotion,Long-métrage,null,undefined
https://www.unifrance.org/film/56373/comme-par-magie,Comme par magie,Christophe Barratier,Fiction,null,M.E.S. Productions,"Orange Studio, Apollo Films, M6 Films, Malec Productions",Long-métrage,null,2023
https://www.unifrance.org/film/56380/comme-un-prince,Comme un prince,"Ali Marhyar, Julien Guetta",Fiction,Comédie dramatique,Quad Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/55707/comme-une-louve,Comme une louve,Caroline Glorion,Fiction,Drame,Sensito Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/55996/la-damnee,La Damnée,Abel Danan,Fiction,null,Place du Marché Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/55586/daaaaaali,Daaaaaali !,Quentin Dupieux,Fiction,Comédie,Atelier de Production,null,Long-métrage,null,2023
https://www.unifrance.org/film/55494/dans-la-foret-sombre-et-mysterieuse,Dans la forêt sombre et mystérieuse,"Vincent Paronnaud (Winshluss), Alexis Ducord",Animation,Animation,Je Suis Bien Content,null,Long-métrage,null,2023
https://www.unifrance.org/film/56504/l-autre-laurens,L'Autre Laurens,Claude  Schmitz,Fiction,Thriller,Chevaldeuxtrois,Chevaldeuxtrois,Long-métrage,null,undefined
https://www.unifrance.org/film/56374/le-dernier-des-juifs,Le Dernier des Juifs,Noé Debré,Fiction,null,Moonshaker,"The Living, L'Embellie",Long-métrage,null,2023
https://www.unifrance.org/film/56333/avant-que-les-flammes-ne-s-eteignent,Avant que les flammes ne s'éteignent,Mehdi Fikri,Fiction,Drame,Topshot Films,"BAC Films, France 3 Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/55995/le-dernier-jaguar,Le Dernier Jaguar,Gilles de Maistre,Fiction,null,Mai-Juin Productions,null,Long-métrage,null,2023
https://www.unifrance.org/film/54154/avant-l-effondrement,Avant l'effondrement,"Alice Zeniter, Benoît  Volnais",Fiction,Comédie dramatique,Elzévir Films,"Paragon, France 2 Cinéma",Long-métrage,null,2023
https://www.unifrance.org/film/55886/batiment-5,Bâtiment 5,Ladj Ly,Fiction,Drame,SRAB Films,Lyly Films,Long-métrage,null,2023
https://www.unifrance.org/film/56482/bienveillance-paysanne,Bienveillance paysanne,Oliver Dickinson,Documentaire,Documentaire,Les Films de l'Anse,null,Long-métrage,Environnement,2023
https://www.unifrance.org/film/55160/la-bete,La Bête,Bertrand Bonello,Fiction,"Thriller, Science-fiction",Les films du Bélier,Arte France Cinéma,Long-métrage,null,2023
https://www.unifrance.org/film/54927/les-derniers-hommes,Les Derniers Hommes,David Oelhoffen,Fiction,Guerre,Galatée Films,null,Long-métrage,null,2023
https://www.unifrance.org/film/56366/black-tea,Black Tea,Abderrahmane Sissako,Fiction,null,Archipel 35 / Archipel 33,null,Long-métrage,null,2023
